DEC alternative conversion factor (LCU per US$),Fertility rate, total (births per woman),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP at market prices (constant 2010 US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita, PPP (constant 2011 international $),GDP per capita, PPP (current international $),GDP, PPP (constant 2011 international $),GDP, PPP (current international $),GNI (current LCU),GNI per capita (current LCU),GNI per capita, Atlas method (current US$),GNI per capita, PPP (current international $),General government total expenditure (current LCU),Life expectancy at birth, total (years),Mortality rate, infant (per 1,000 live births),Official exchange rate (LCU per US$, period average),PPP conversion factor, GDP (LCU per international $),PPP conversion factor, private consumption (LCU per international $),Population aged 14 years or younger (thousands),Population aged 15-24 years (thousands),Population aged 25-64 years (thousands) ,Population aged 65 years or older (thousands),Population growth (annual %),Poverty headcount ratio at $3.20 a day (PPP) (% of population),Prevalence of HIV, total (% of population ages 15-49),Price level ratio of PPP conversion factor (GDP) to market exchange rate,Rural population (% of total population),Total debt service (% of GNI),Total population (thousands),
PNG,3.3,3.6,63444058344,77099241137,23412495063,20814728548,121.5,-0.8,8958,2720,4236,4336,36455872872,37316119164,75066544537,8722,2570,4220,16134000000,64,37,3.3,2.07,2.8,3082,1689,3539,297,2,NaN,0.8,0.6,87,12.2,8606,
POL,3.6,1.5,1911419000000,2120480000000,587114101393,633906742281,110.9,5.3,55839,15461,31766,31834,1206293865286,1208903726913,2032957000000,53534,14150,30520,880356000000,78,4,3.6,1.75,1.9,5708,3949,21622,6643,NaN,NaN,NaN,0.5,40,NaN,37922,
PRI,1,1,9438700000,100979900000,100979900000,87377939487,1069.8,-4.7,31622,31622,34116,34921,108944796540,111515558118,67824700000,21239,21030,23460,24534000000,80,NaN,NaN,0.91,NaN,NaN,NaN,NaN,NaN,-4,NaN,NaN,0.9,6,NaN,NaN,
PRK,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,14,NaN,NaN,NaN,5162,3895,14108,2385,0.5,NaN,NaN,NaN,38,NaN,25550,
PRT,0.8,1.4,194775785500,204304761000,241274628877,247179377392,104.9,2.6,19867,23462,34013,34341,349784368911,353153783394,199269898000,19377,21990,33490,88599000000,81,3,NaN,0.58,0.7,1380,1075,5549,2252,-0.2,NaN,NaN,0.7,35,NaN,10256,
PRY,5732.1,2.4,209627759398300,231489277582300,40384691791,37420751807,110.4,3.4,33278740,5806,12850,13153,89385101984,91494315027,223687119000571,32157107,5620,12710,35683161000000,74,17,5732.1,2530.09,2578,2048,1346,3115,447,1.3,5.8,0.5,0.4,38,5.9,6956,
PSE,1,3.6,13810300000,14615900000,14615900000,12246606690,105.8,0.9,3199,3199,5662,5795,25868500266,26478917180,17009800000,3723,3710,6740,4408785331,74,17,NaN,0.55,0.6,1894,1007,1810,152,2.5,NaN,NaN,0.6,24,NaN,4863,
PYF,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,101,NaN,NaN,63,42,149,23,0.6,NaN,NaN,NaN,38,NaN,278,
QAT,3.6,1.9,820937000000,696558000000,191362087912,175970440575,84.8,1.5,250409,68794,94503,96733,262875961485,269079024348,682925000000,245508,61150,94840,192835000000,80,6,3.6,2.59,2.8,377,384,1983,38,2.1,NaN,NaN,0.7,1,NaN,2782,
REU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205,132,443,103,NaN,NaN,NaN,NaN,NaN,NaN,883,
ROU,3.9,1.8,447652500000,952396800000,241626953521,225618204479,212.8,4.4,48910,12409,28565,29214,556242287281,568867842525,934871719000,48010,11430,28680,304302000000,75,6,3.9,1.67,1.9,3030,2045,10854,3577,-0.6,NaN,0.1,0.4,46,NaN,19506,
RUS,62.7,1.6,89390425366250,104629600000000,1669583089323,1739125742082,117,2.5,712587,11371,26668,28764,3915637487520,4223363714785,102010518094550,694750,10250,28040,33880686000000,73,5,62.7,24.77,26.1,26107,13884,84357,21386,NaN,0.4,NaN,0.4,26,6.8,145734,
RWA,861.2,4,8353603000000,8291238000000,9627720630,10441891844,99.3,8.6,673978,783,2089,2138,25693415259,26299700706,8022286000000,652116,780,2070,2188897000000,69,27,861.1,315.26,285.8,4918,2409,4613,361,2.6,NaN,2.7,0.4,83,2.8,12302,
SAU,3.8,2.3,2631091082700,2949456868400,786521831573,701624288720,112.1,2.4,87521,23339,47597,48720,1604007207651,1641856836371,2976132311400,88313,21600,49160,1078750000000,75,6,3.8,1.8,1.7,8440,4763,19382,1117,1.8,NaN,NaN,0.5,16,NaN,33703,
SDN,38.2,4.4,32492000000,995603000000,26078607539,75749454779,3064.1,-2.3,23817,624,4161,4259,173919369088,178023330414,923602970400,22095,840,3950,229344000000,65,42,24.3,5.59,8.6,16933,8501,14870,1497,2.4,NaN,0.2,0.1,65,0.9,41802,
SEN,555.4,4.6,12635155492700,12906359000000,23236007428,24528196373,102.1,6.4,814057,1466,3315,3393,52553805637,53793913550,12572559000000,793003,1400,3310,2895737000000,68,34,555.4,239.92,234,6826,3108,5431,489,2.8,NaN,0.4,0.4,53,3.6,15854,
SGP,1.3,1.1,471819600000,503395200000,373217081851,333096256634,106.7,3.4,89275,66189,97745,100051,551152129659,564157622013,455068500000,80705,57900,90450,71253000000,83,2,1.3,0.89,1.1,707,723,3668,660,0.5,NaN,0.2,0.7,,NaN,5757,
